rachel_good,rachel_bad,ross_good,ross_bad
0,hiccups.,"yeah, that's true. except i don't wanna get over her.",you know what? enough! enough talking! i have to get moving! hey check out those two blondes over there! hey come with me!
0,"yeah well, not anymore i can't. he fired us! what are we gonna do? we have to find a pediatrician. wait wait, monica said that when you guys were growing up, you really liked your doctor. what was his name?",i don't! i wanna be with her.,"you don't have to do anything. it will just be easier if it is the two of us, like college, remember? you...you break the ice with some kind of jokes so that they know you're the funny one and i swoop in with some interesting conversation, so they'll see that i'm the brilliant, brooding, sexy one..."
0,argh! why does everything happen to me?!,"yeah, i'm gonna go after her.",don't you have to be at work?
0,"what? what, do you mean you're not feeling well? what do you have? is it rubella? because don't go near emma, she has not had that shot.",my coat...,"hum...so...hum...oh hey i noticed you were reading the paper...another flood in europe? here’s a question ""would you... would you rather drown or be burnt alive?"""
0,"wiener, wiener wiener, wiener!!!","i don't know, but i.. look, even if she shoots me down, at least i won't spend the rest of my life wondering what would have happened. where - where is my coat?!","hi! i could help not notice, but that's an unusual necklace"
0,great! now he's gonna know it was me!,"okay, guys, wish me luck.","right, so that's a firm ""no"". i cannot believe this, i just keep striking out."
0,"it's impossible to find a good doctor. i mean, how do you know the good ones from the ones who are gonna push their penis against your knee?",there's no seatbelt!,this is great. rachel's gonna keep kissing guys until she finds the one she wants and i'm gonna die alone.
0,"we've got to find a new pediatrician. ross was getting sick last night, and i think emma may have caught it.","alright, alright, let's do this!",i know!
0,ross said he died.,hey!,"but, what’s great is that you don’t mind talking about it."
0,"oh, great! well, then i'm gonna take emma to see him. i wonder why ross said that he died.","no, you don't understand. this isn't a real cab.",uh-ah!
0,why? what was it?,get out of the cab!,. good choice ross.
0,"hi, my name is rachel green, i have an appointment for emma.",are we off the bridge?,"oh, yeah, hello, well, now, here i am."
0,"oh, i really liked him. yeah, it was really, really, really good.",is the old woman on the bicycle still alive?,"oh, yeah, yeah that’s michelle."
0,i know. ross still sees his pediatrician!!! i don't care!,"oh my god, phoebe, slow down!","oh, just this woman i’ve been seeing."
0,"ross, seriously! you've gotta go to an appropriate doctor.","yes, but i don't wanna die in your cab!","yeah, didn’t i mention that? yeah, i mean, we haven’t being going out for too long, but rather there is this amazing connection between us. i-i mean, in fact just before you came in she called me her boyfriend. i thought it was a little too soon, but it was also, you know, it was kinda nice."
0,"okay, wow, wow, wow. watch the tongue people, we've got a baby over here.",what?,"how great is this? you are already comfortable enough to look through my stuff. oh, i am sorry michelle, that’s my roommate, rachel."
0,bye honey.,okay!,i told you about my daughter.
0,hello,"to talk to rachel, isn't that why we took a ride in the death-cab?","i told you it wasn’t long, but there is an amazing connection between us."
0,oh that couldn't have been pretty. but you know guys do that.,not since my cop-show got cancelled.,are you kidding?
0,nooooooooo!,what? we're never gonna make it!,we’ll see.
0,well watching sharks? are you sure that's what he was doing?,"okay, if you could all walk slower, that'd be great.","i don’t know, are we just kissing guys on balconies?"
0,man sharks. i always knew there was something weird about that dude. but you promised to love him no matter what.,"hey, i need a ticket.","through the magic of sight! i was here, putting our child to sleep..."
0,"ah! you know what honey guys are just different, they like things that we can't understand, you know i once dated this guy who wanted to pretend he was an archeologist and i was a naughty cave woman that he unfroze from a block of ice.","fine, two tickets, i need two tickets.","when i happened to look through the window and i see you kissing a guy you know, for what? a week?"
0,yeah i didn't disguise that very well did i.,i don't care. whatever is the cheapest.,"ok, michelle, it’s time to go."
0,hi,"okay, flight 421 to paris. i don't see it, do you see it?",ok.
0,so basically you've slept with all the woman in new york and now you're just going around again.,"no, no, no. that's impossible. it doesn't leave for another 20 minutes.","you know, if it’s meant to be, i’ll guess it. bye, bye."
0,"what, how do we know, we never slept with you.","what? hey, hey, listen..","oh, i am sorry, did you not like her, because i was hoping that we could come to one of your kissing parties on the balcony."
0,"yeah your both so slutty you don't even remember who you've slept with, you're made for each other.","monica? monica, monica, monica, monica..?","oh, really!"
0,"well, i hope the ends of these sentences are good.","that's alright. listen, listen.","oh, really!"
0,"oh well, well thank you.â â okay, stop.â stop looking at me like that.â the last time that happened, that happened.â","monica? monica, monica, monica, monica..?",what about the guy from the bar?
0,"yeah, yeah.â phoebe and i are going to have so much fun.â and thank you for watching the baby, by the way.",that is precious! listen! i need rachel's flight information.,the guy you gave your number to.
0,phoebe's mike?,"yes, that's what i have. it's not on the board.","because he called here looking for you. so don’t tell me this...this kissing this guy from work is a one time thing, ok? you’ve been out there in bars and on balconies for over a month now. and you didn’t even have the courtesy to tell me."
0,i didn't know you guys hung out.,what?,what?
0,"oh that's so cute â ross and mike's first date.â is that going to be awkward?â i mean, what are you guys going to talk about?",jfk.,because i folded it up and put in my pants pocket. do you...do you not look there?
0,yeah.,"phoebe! wow! no, no, no!",i never gave it to you.
0,hey.,"phoebe, forget it, okay? newark is - is like an hour away. there's no way we're gonna make it in time.",i don’t know.
0,"ok.â so now, i think emma is probably down for the night, but if you need anything ross . . .",i am not doing this over the phone.,who am i?
0,okay.â you too.â and i hope you score.â bye.,yay.,i am the guy who’s taking care of our baby while you’re out at bars meeting guys!
0,oh god.â it seems like forever ago.,where is she?,none of the sane ones wanted to come back with me! that’s not the point. ok? the point is you...you are the one who moved on and didn’t tell anyone!
0,"well, um . . . i don't know.â i mean, for a long time nothing.â but you know, actually right before you picked me up, ross and i had a . . . ah . . . little thing.",rachel! rachel green!,"uh, clearly."
